Iteration	Moves
999	1000
1999	1000
2999	1000
3999	75
4999	1000
5999	738
6999	1000
7999	1000
8999	1000
9999	1000
19999	1000
29999	1000
39999	36
49999	1000
59999	1000
69999	1000
79999	1000
89999	55
99999	57
109999	41
119999	1000
129999	1000
139999	33
149999	42
159999	49
169999	29
179999	29
189999	43
199999	33
209999	28
219999	37
229999	1000
239999	30
249999	37
259999	31
269999	28
279999	29
289999	31
299999	33
309999	31
319999	29
329999	32
339999	30
349999	28
359999	1000
369999	31
379999	28
389999	28
399999	27
409999	28
419999	33
429999	31
439999	31
449999	29
459999	28
469999	25
479999	31
489999	29
499999	31
509999	34
519999	29
529999	28
539999	28
549999	29
559999	29
569999	32
579999	30
589999	32
599999	29
609999	31
619999	27
629999	25
639999	33
649999	34
659999	29
669999	26
679999	29
689999	28
699999	29
709999	25
719999	28
729999	34
739999	36
749999	25
