Iteration	Moves
999	1000
1999	1000
2999	1000
3999	1000
4999	1000
5999	1000
6999	1000
7999	1000
8999	1000
9999	1000
19999	1000
29999	1000
39999	1000
49999	1000
59999	1000
69999	1000
79999	1000
89999	1000
99999	1000
109999	1000
119999	1000
129999	1000
139999	1000
149999	1000
159999	1000
169999	1000
179999	1000
189999	1000
199999	1000
209999	1000
219999	1000
229999	1000
239999	1000
249999	1000
259999	1000
269999	1000
279999	1000
289999	1000
299999	1000
309999	1000
319999	1000
329999	1000
339999	40
349999	1000
359999	31
369999	43
379999	1000
389999	1000
399999	1000
409999	1000
419999	1000
429999	43
439999	43
449999	1000
459999	1000
469999	1000
479999	1000
489999	1000
499999	1000
509999	29
519999	1000
529999	1000
539999	36
549999	1000
559999	39
569999	37
579999	38
589999	30
599999	28
609999	32
619999	27
629999	32
639999	33
649999	27
659999	32
669999	33
679999	31
689999	27
699999	29
709999	35
719999	28
729999	28
739999	1000
749999	28
